248,A|N,RADO-22|RA I-21|LUGO-22|LOPI-22|UMTA-22|DUNZ-22|RUMA-22|KRES-22|MAPO-22|BURY-22|BRON-22|RUBI-22|OSLO-21|KULY-21|LUCK-21|STOI-23|STRU-21|OSBI-21|OSBA-23|ORP-24|ORP-22|OSBA-21|OPIE-22|SZYM-22|SOB-21|SODW-21
60,A,GADW-22|GRLA-21|MAGA-22|SOLN-22|NOGO-22|KLIN-21|NADW-21|SLAS-21|UP-21|WOPO-21|GOLE-21|PESK-21|SZKA-21|TRUS-21|DRUS-21|LUBI-21|KART-21|KOSO-21|BIAL-23|SYPU-21|SUCH-21|PODO-23|INMR-21|SZYN-21|LITE-22
60,A,SZYN-22|INMR-22|PODO-24|SUCH-22|SYPU-22|KOSO-23|KART-22|LUBI-22|DRUS-22|TRUS-22|SZKA-22|PESK-22|GOLE-22|WOPO-22|UP-22|SLAS-22|NADW-22|KLIN-22|NOGO-21|SOLN-21|MAGA-21|GADW-21
61,A,OGDY-24|OGDY-22|PONZ-21|BUZA-21|PLOT-21|PILO-21|TATR-21|KOLO-21|SMOC-21|LEKA-21|WICH-21|MIED-21|KRZY-23
61,A,KRZY-24|MIED-22|WICH-22|LEKA-22|SMOC-22|KOLO-22|TATR-22|PILO-22|PLOT-22|BUZA-22|OGDY-27
62,A,RADW-22|PILS-21|OSWI-21|INFL-21|MILC-21|WIAD-21|URSZ-21|SANT-21|STRA-21|POKR-21|NIZA-21|JARO-21|KRNY-21|KRSZ-21|KRWI-21|SIEW-21|TAKA-21|CHRZ-21|OSNZ-21|SPKA-21|RODA-21|LOPA-21|SPLA-22|GOSP-22|OLIW-22|SZWO-22|WIEP-22|LUGA-22|L II-21|L I-23|INFL-22|OSWI-22|PILS-22|RADW-21
63,A,GORC-22|KORD-23|SCIE-22|TACZ-22|BULG-24|MARS-22|RYCE-22|MARC-24|BRZA-22|SZPI-22|GROD-22|POLN-22|SZYL-22|BALT-22|MT-21|LIBE-21|SOLN-21|MAGA-23|KATE-21|ROSR-24|SRDW-21
63,A,SRDW-22|ROSR-22|KATE-22|MAGA-22|SOLN-22|LIBE-22|RKAP-21|BALT-21|SZYL-21|POLN-21|GROD-21|SZPI-21|BRZA-21|MARC-21|RYCE-21|MARS-21|BULG-23|TACZ-21|SCIE-21|KORD-21|GORC-21
64,A,KACZ-22|MRAG-22|OSKO-22|TREB-22|SCIE-21|KORD-22|PALA-22|ARCI-22|SSKA-22|CHOC-22|SOEJ-22|WYSP-22|PALM-22|MATE-24|KRAS-22|RJEZ-01|KOSC-21|JEZY-21|NADW-21|SLAS-21|UP-21|WOPO-21|GOLE-21|GOKA-21|LINZ-21|HEZJ-21|LITE-21|TOLT-21|PUSA-21
64,A,PUSA-22|TOLT-22|LITE-22|HEZJ-22|LINZ-22|GOKA-22|GOLE-22|WOPO-22|UP-22|SLAS-22|NADW-22|JEZY-22|KOSC-22|RJEZ-02|KRAS-21|MATE-23|PALM-21|WYSP-21|SOEJ-21|CHOC-21|SSKA-21|ARCI-21|PALA-21|KORD-23|SCIE-23|TREB-21|OSKO-21|MRAG-21|KACZ-21
65,A,RADW-22|PILS-21|OSWI-21|INFL-23|SZII-21|OBII-21|OB I-22|OBOD-21|WARO-21|OKOP-21|FORT-21|STAR-21
65,A,STAR-22|FORT-22|OKOP-22|WARO-22|OBOD-22|OB I-23|OBII-22|SZII-22|OSPO-21|INFL-22|OSWI-22|PILS-22|RADW-21
66,A,RADW-22|OJAG-21|LIII-21|SLEZ-22|CZII-23|CZ I-21|P K-21|RUSA-21|R SZ-24|BIGO-21|ZELA-21|PRZM-21|PIWN-21|MLYN-21|ZIEM-21|SOBI-21|SWIA-21|FASA-21|SMOL-21|GORS-21|ZIEL-21
66,A,ZIEL-22|GORS-22|SMOL-22|FASA-22|SWIA-22|SOBI-22|ZIEM-22|MLYN-22|PIWN-22|PRZM-22|ZELA-22|BIGO-23|R SZ-22|RUSA-22|P K-22|CZ I-22|CZII-21|LIII-22|OJAG-22|RADW-21
67,A,SRDW-22|ROSR-22|KATE-22|MAGA-21|GABA-21|WIGR-21|WILC-21|NASE-21|WLOD-21|NAWI-21|NARA-21|RUBI-21|BRON-21|BURY-21|MAPO-21|KRES-21|RUMA-21|DUNZ-21|UMTA-21|LOPI-21|LUGO-21|RADO-21
67,A,RADO-22|RA I-21|LUGO-22|LOPI-22|UMTA-22|DUNZ-22|RUMA-22|KRES-22|MAPO-22|BURY-22|BRON-22|RUBI-22|NARA-22|NAWI-22|WLOD-22|NASE-22|WILC-22|WIGR-22|GABA-22|GRLA-21|MAGA-23|KATE-21|ROSR-24|SRDW-21
252,A|N,KACZ-22|KACZ-24|OSKO-22|TREB-22|SCIE-21|KORD-21|GORC-21|SIEL-02|KRAU-02|GLHE-02|RYLA-02|PAWI-02|DWZA-02|MODW-52|RKAP-27
252,A|N,RKAP-24|MODW-51|DWZA-01|PAWI-01|RYLA-01|GLHE-91|KRAU-01|SIEL-01|GORC-22|KORD-23|SCIE-23|TREB-21|OSKO-21|KACZ-23|KACZ-21
69,A,OLOK-22|KULY-22|OSLO-22|NARA-22|OWW-22|OKOS-22|ROSO-22|OPL-22|OPRZ-21|OZIM-21|SLKA-22|URBA-21|PRNZ-21|WIKA-22|RKAP-21|BALT-21|SZYL-21|POLN-21|BUKO-22|OPAL-21|SZAM-21|MARC-23|GROC-23|PROM-21|TECZ-21|SCIE-23|TREB-21|OSKO-21
69,A,OSKO-22|TREB-22|SCIE-24|TECZ-22|PROM-22|GROC-24|MARC-22|SZAM-22|OPAL-22|POLN-22|SZYL-22|BALT-22|MT-21|WIKA-21|ARPO-21|SLKA-24|OZIM-22|OPRZ-22|OPL-21|ROSO-21|OKOS-21|OWW-21|NARA-21|OSLO-21|KULY-21|OLOK-21
251,A|N,KWIA-22|JUNI-23|ZIEB-22|BUDZ-22|JAWO-22|BABI-22|BULG-22|KASZ-22|GROC-22|OSTR-22|RJNJ-22|MATE-22|RKAP-27
251,A|N,BALT-21|MATE-01|WOJS-21|RJNJ-21|OSTR-21|GROC-21|KASZ-21|BULG-21|BABI-21|JAWO-21|BUDZ-21|ZIEB-21|CMRZ-02|JUNI-21|KWIA-21
2,T,DEEC-02|WSPO-02|HCP-92|TRAU-92|KOSI-92|RYWI-04|ROZA-02|POLW-02|AWF-02|LAKO-02|PLWL-02|MRCI-92|PLWO-91|GWAR-01|RKAP-04|ZEYL-01|KRAS-91|RJEZ-91|PONA-91|ZERO-01|OGDY-01
2,T,OGDY-02|ZERO-02|PONA-92|RJEZ-92|KRAS-02|ZEYL-02|RKAP-03|SWMN-01|MRCI-01|PLWL-01|LAKO-01|AWF-01|POLW-01|ROZA-01|RYWI-03|KOSI-91|TRAU-91|HCP-91|WSPO-91|DEEC-01
6,T,BUDZ-02|JELE-02|BABI-02|BULG-02|KASZ-02|GROC-02|OSTR-02|RJNJ-02|MATE-02|BALT-02|MODW-01|PKS-02|POLW-02|AWF-03|SERA-01|RRAT-02|KORN-02|KORN-05|BAKA-02|ROSR-04|ROSR-05|SWMI-01|NOVO-01|KRAC-01|LOMZ-01|PUST-01|MILO-01
6,T,MILO-02|PUST-02|LOMZ-02|KRAC-02|NOVO-02|SWMI-02|ROSR-06|ROSR-03|BAKA-01|KORN-01|RRAT-03|RRAT-01|SERA-02|AWF-01|POLW-01|PKS-01|MODW-02|BALT-01|MATE-91|WOJS-91|RJNJ-01|OSTR-01|GROC-01|KASZ-01|BULG-01|BABI-01|JELE-01|BUDZ-01
99,A,RADW-22|PILS-21|OSWI-21|INFL-21|MILC-21|KINE-22
99,A,KINE-21|FRAN-22|L II-21|L I-23|INFL-22|OSWI-22|PILS-22|RADW-21
98,A,SODW-22|SZYM-21|OPIE-21|OSBA-22|OSBA-23|INFI-21|UAM-21|ORP-21|ORP-23
98,A,ORP-24|ORP-22|INFI-23|UAM-22|INFI-22|OSBA-24|OSBA-21|OPIE-22|SZYM-22|SOB-21|SODW-21
91,A,OSKO-22|JUGO-22|BULG-24|MARS-22|OGNI-22|SWOB-22|SZPI-25|OGDY-21|ZERO-21|NIES-21|WOPO-23|WRZO-21|OPW-21|ALSO-23|OSZW-21|POLA-21|PSAM-21|UMUL-25|UMUL-21|SARM-21|STOI-23|STRU-21|OSBI-21|OSBA-21|OPIE-22|SZYM-22|SOB-21|SODW-21
91,A,SODW-22|SZYM-21|OPIE-21|OSBA-22|OSBI-22|STRU-22|STOI-24|SARM-22|UMUL-22|PSAM-22|POLA-22|OSZW-22|ALSO-21|WRZO-22|WIWI-21|WIKL-21|WOPO-24|NIES-22|ZERO-22|OGDY-22|SZPI-23|SWOB-21|BUNZ-23|OGNI-21|MARS-21|BULG-23|JUGO-21|OSKO-21
